PARK_NAME,LATITUDE,LONGITUDE,ADDRESS,URL
Shaughnessy Park,49.2557,-123.1351,1300 The Crescent,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=172
Slocan Park,49.2436,-123.0463,2750 E 29th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=161
Spanish Banks Beach Park,49.2776,-123.2192,4801 Nw Marine Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=220
Sparwood Park,49.2203,-123.0293,6998 Arlington St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=105
Stanley Park,49.2981,-123.1276,2000 W Georgia St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=206
Strathcona Linear Park,49.2768,-123.0877,787 Prior St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Strathcona Park,49.2739,-123.0834,857 Malkin Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=181
Sun Yat-Sen Gardens,49.2796,-123.1033,578 Carrall St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Sunnyside Park,49.2549,-123.0808,1100 E 17th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=89
Sunrise Park,49.2667,-123.0352,1950 Windermere St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=77
Sunset Beach Park,49.2789,-123.1377,1204 Beach Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=207
Sunset Park,49.2228,-123.0967,404 E 51st Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=189
Sutcliffe Park,49.2687,-123.1348,1318 Cartwright St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=47
Tatlow Park,49.2701,-123.1696,2845 W 3rd Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=119
Tea Swamp Park,49.2572,-123.0988,266 E 15th Av,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Tecumseh Park,49.2298,-123.0699,1751 E 45th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=198
Templeton Park,49.2785,-123.0588,700 Templeton Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=60
Thornton Park,49.2739,-123.0993,1166 Main St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=183
Thunderbird Park,49.2689,-123.0291,3485 E 2nd Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=78
Tisdall Park,49.2273,-123.1193,6210 Tisdall St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=147
Trafalgar Park,49.2514,-123.1646,2610 W 23rd Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=8
Trillium Park Site,49.275,-123.0931, National Avenue & Thornton Street,http://vancouver.ca/parks/
Valdez Park,49.2524,-123.1765,3210 W 22nd Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=42
VanDusen Botanical Gardens,49.2391,-123.1346,5251 Oak St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=173
Vanier Park,49.2759,-123.1431,1000 Chestnut St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=120
Victoria Park,49.2715,-123.0667,1415 Victoria Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=62
Victory Square,49.2822,-123.1102,200 W Hastings St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=31
Volunteer Park,49.2716,-123.1693,2855 Point Grey Road,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=121
W.C. Shelley Park,49.263,-123.0729,1500 E 8th Av,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Wendy Poole Park,49.2843,-123.0996,199 Alexander St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=32
West Point Grey Park,49.2668,-123.2052,2250 Trimble St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=221
Westmount Park,49.2718,-123.2144,4651 W 2nd Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=222
William Mackie Park,49.2068,-123.1425,1592 W 71st Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=130
Willow Park,49.2648,-123.1221,802 W 7th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=48
Winona Park,49.216,-123.1133,7575 Columbia St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Woodland Park,49.2785,-123.0735,705 Woodland Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=64
Yaletown Park,49.2778,-123.1185,901 Mainland St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
