SCHOOL_NAME,LATITUDE,LONGITUDE,ADDRESS,URLLINK
Laurier Annex,49.2107,-123.1194,590 W 65th Av,http://www.vsb.bc.ca/schools/laurier-annex
University Hill Elem.,49.2748,-123.2374,5395 Chancellor Boulevard,http://www.vsb.bc.ca/schools/university-hill-elementary
Dickens Annex,49.2502,-123.0827,3877 Glen Drive,http://www.vsb.bc.ca/schools/charles-dickens-annex
Mount Pleasant Elem.,49.264,-123.094,2300 Guelph St,http://www.vsb.bc.ca/schools/mount-pleasant
Champlain Heights Elem.,49.2206,-123.0277,6955 Frontenac St,http://www.vsb.bc.ca/schools/champlain-heights
Lord Roberts Annex,49.2831,-123.1298,1150 Nelson St,http://www.vsb.bc.ca/schools/roberts-annex
Britannia Elem.,49.2745,-123.0714,1110 Cotton Drive,http://www.vsb.bc.ca/schools/britannia-elementary
Jules Quesnel Elem.,49.2596,-123.1925,3050 Crown St,http://www.vsb.bc.ca/schools/jules-quesnel
False Creek Elem.,49.2671,-123.1269,900 School Green,http://www.vsb.bc.ca/schools/false-creek
Champlain Heights Annex,49.2141,-123.0305,7835 Champlain Crescent,http://www.vsb.bc.ca/schools/champlain-heights-annex
Queen Alexandra Elem.,49.262,-123.0759,1300 E Broadway,http://www.vsb.bc.ca/schools/queen-alexandra
Queen Mary Elem.,49.2679,-123.2048,2000 Trimble St,http://www.vsb.bc.ca/http://www.vsb.bc.ca/schools/queen-mary
Fraser Elem.,49.2572,-123.1082,100 W 15th Av,http://www.vsb.bc.ca/
L'Ecole Bilingue Elem.,49.2581,-123.1304,1166 W 14th Av,http://www.vsb.bc.ca/schools/lecole-bilingue
Carr Elem.,49.25,-123.1261,4070 Oak St,http://www.vsb.bc.ca/schools/emily-carr
Wolfe Elem.,49.2472,-123.106,4251 Ontario St,http://www.vsb.bc.ca/schools/general-wolfe
Lord Nelson Elem.,49.2725,-123.0597,2235 Kitchener St,http://www.vsb.bc.ca/schools/lord-nelson
Tennyson Elem.,49.2625,-123.1494,1936 W 10th Av,http://www.vsb.bc.ca/schools/lord-tennyson
McBride Elem.,49.2442,-123.0782,1300 E 29th Av,http://www.vsb.bc.ca/schools/sir-richard-mcbride
Grenfell Elem.,49.2429,-123.0348,3323 Wellington Av,http://www.vsb.bc.ca/schools/sir-wilfred-grenfell
Tecumseh Elem.,49.2321,-123.068,1850 E 41st Av,http://www.vsb.bc.ca/schools/tecumseh
Elsie Roy Elem.,49.2722,-123.1225,150 Drake St,http://www.vsb.bc.ca/schools/elsie-roy
Collingwood Neighbourhood School,49.2363,-123.0323,3417 Euclid Av,http://www.vsb.bc.ca/schools/collingwood-neighbourhood-bruce-annex
Walter Moberly Elem.,49.2161,-123.0843,1000 E 59th Av,http://www.vsb.bc.ca/schools/walter-moberly
Waverley Elem.,49.2278,-123.0558,6111 Elliott St,http://www.vsb.bc.ca/schools/waverley
VLN - Secondary,49.232,-123.0919,530 E 41st Av,http://www.vsb.bc.ca/schools/vancouver-learning-network-secondary-0
VLN - Elementary,49.2754,-123.0498,1025 Slocan St,http://www.vsb.bc.ca/schools/vanocuver-learning-network-elementary
